energy_GeV,jet,variable,branch,stage,selection,selected_events,visible_fills,hist_mean,hist_rms,gaussian_mu,gaussian_mu_error,gaussian_sigma,gaussian_sigma_error,gaussian_fit_status,gaussian_chi2_ndf
365.0,2,theta,pull4C_standard_theta_j2,before,pull4C_standard_valid > 0.5,45480,32281,0.005024462248572457,1.6836697915898196,-0.006135516064030188,0.007524987532442549,1.1881987110806422,0.00879259950266964,4000,29.372991115557948
365.0,2,theta,pull4C_standard_theta_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.00603836187875979,1.0455032479696036,-0.0072804553725056426,0.006707550103497994,1.0142310810999422,0.007217022572025389,4000,19.8576797485196
365.0,2,phi,pull4C_standard_phi_j2,before,pull4C_standard_valid > 0.5,45480,33583,0.012136207879329555,1.6904733140719383,0.007775215927223008,0.00739273790867775,1.1907591084233455,0.008700695951414428,4000,29.743226021108523
365.0,2,phi,pull4C_standard_phi_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,0.00872753912193965,1.0193495627501061,0.004761629380409427,0.0064397460584846205,0.9788331504894471,0.00692124805482508,4000,18.589451639665686
365.0,2,x,pull4C_standard_x_j2,before,pull4C_standard_valid > 0.5,45480,37096,-0.3109802224284237,1.3611252969579033,-0.19926322378372618,0.0048151835078228495,0.8068826856453244,0.0067714235576780135,4000,73.13115363458813
365.0,2,x,pull4C_standard_x_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.20536955532218257,0.709222918716077,-0.1706353797435106,0.0042155436812090705,0.6104509567715982,0.005119623861129907,4000,38.15618270167459
365.0,3,alpha,pull4C_standard_alpha_j3,before,pull4C_standard_valid > 0.5,45480,36337,-0.2793039474498145,1.3800572973655576,-0.16169840754389847,0.004701511057418185,0.7861548455854328,0.0068165027641642895,4000,71.4010529303314
365.0,3,alpha,pull4C_standard_alpha_j3,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.1619569339214726,0.7114069716527016,-0.13300084193577213,0.004044906118744558,0.5964792768957824,0.004791440287080007,4000,34.312811495250415
365.0,3,theta,pull4C_standard_theta_j3,before,pull4C_standard_valid > 0.5,45480,32428,0.0008229417384078498,1.696895756453174,-0.009174535319987548,0.007531871128111359,1.1902497229516533,0.008928224582146815,4000,29.62911345531847
365.0,3,theta,pull4C_standard_theta_j3,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.009142427842854985,1.0482506426866915,-0.011363731993999295,0.006708008106055858,1.0145265539822108,0.007208364224928987,4000,19.31338185841927
365.0,3,phi,pull4C_standard_phi_j3,before,pull4C_standard_valid > 0.5,45480,33298,-0.011068876459660598,1.6989920385968933,-0.01682412473750699,0.007492115014739886,1.1988337593061913,0.008750267997855388,4000,28.844793402404903
365.0,3,phi,pull4C_standard_phi_j3,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.0064396371643336055,1.032907642866213,-0.01068916344133691,0.006579049851155812,0.9983695029754495,0.0070227882295464394,4000,18.323078834125965
365.0,3,x,pull4C_standard_x_j3,before,pull4C_standard_valid > 0.5,45480,36284,-0.25670918840318,1.3879776081952226,-0.14840375696420072,0.0046941296089697045,0.7885255563863834,0.006803197316228582,4000,70.5560634230605
365.0,3,x,pull4C_standard_x_j3,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.15507736035666053,0.7129662095827605,-0.12666789799173964,0.004044283860245507,0.5982643682561427,0.004786861220365923,4000,33.68311098867061
365.0,4,alpha,pull4C_standard_alpha_j4,before,pull4C_standard_valid > 0.5,45480,33372,-0.3197310493514066,1.5063355367137172,-0.19105476791984516,0.0061343912899077405,0.9802280622128077,0.00799898865162213,4000,53.06175701178263
365.0,4,alpha,pull4C_standard_alpha_j4,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.2005273154764402,0.884872900389569,-0.16976837543210035,0.005522982029174563,0.8021460166315953,0.006736730962899173,4000,35.11463369412789
365.0,4,theta,pull4C_standard_theta_j4,before,pull4C_standard_valid > 0.5,45480,32941,0.01740786506923432,1.6778920317997932,0.006103541404488382,0.00735380775366378,1.1751142643534893,0.008696345304508801,4000,31.343653959345406
365.0,4,theta,pull4C_standard_theta_j4,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.0016255935466643247,1.027213712234252,-0.0021580150346287292,0.0064810564649979635,0.9820364809328801,0.007182944208249498,4000,21.1701940594153
365.0,4,phi,pull4C_standard_phi_j4,before,pull4C_standard_valid > 0.5,45480,33459,0.005585244080767474,1.696539918607482,-0.004079730353733764,0.007459702676750858,1.197248227736546,0.008797436219737498,4000,29.393276298673253
365.0,4,phi,pull4C_standard_phi_j4,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.0008067235766424474,1.029119858645918,-0.0010291085343085932,0.006523542781915773,0.9909240883092405,0.007007290021474322,4000,18.31161289627809
365.0,4,x,pull4C_standard_x_j4,before,pull4C_standard_valid > 0.5,45480,33338,-0.30231683432881856,1.5110346428469246,-0.17720003280585594,0.006150236065596672,0.9843929654171486,0.007996790125886555,4000,52.245363750150034
365.0,4,x,pull4C_standard_x_j4,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.19304820763536626,0.8868794588751476,-0.162805455872129,0.005535429383153658,0.8048505672470985,0.006709437690355147,4000,34.609127928631324
