energy_GeV,fit,pull_category,jet,variable,branch,stage,selection,selected_events,visible_fills,hist_mean,hist_rms,gaussian_mu,gaussian_mu_error,gaussian_sigma,gaussian_sigma_error,gaussian_fit_status,gaussian_chi2_ndf
240.0,5C,pull5C_standard,2,x,pull5C_standard_x_j2,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,-0.15705023700059165,0.9170912977216933,-0.16043287961920452,0.014347563020158792,0.8389009905991892,0.015144059307895141,4000,3.53662537724055
240.0,5C,pull5C_final,2,alpha,pull5C_final_alpha_j2,before,pull5C_final_valid > 0.5,45771,34774,-0.06029975723796624,1.8942839086087142,-0.08291606710278535,0.008911977595815933,1.3710202704383656,0.010696259683410592,4000,26.351959594966154
240.0,5C,pull5C_final,2,alpha,pull5C_final_alpha_j2,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,-0.07043199332895414,0.7895400988788344,-0.07333668867918348,0.007476429356341983,0.7295228080421556,0.008552686238095908,4000,10.67246814794044
240.0,5C,pull5C_final,2,theta,pull5C_final_theta_j2,before,pull5C_final_valid > 0.5,45771,20226,0.006722284911559917,2.33380044604125,0.01608519206326829,0.024818433935196612,2.1596999371745786,0.03676097445702764,4000,2.4425351979668646
240.0,5C,pull5C_final,2,theta,pull5C_final_theta_j2,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,0.01918741795093625,1.4258741363208143,0.01458118835906482,0.018223139379149413,1.5601335553893267,0.01948164650634332,4000,1.8031327800638808
240.0,5C,pull5C_final,2,phi,pull5C_final_phi_j2,before,pull5C_final_valid > 0.5,45771,19922,-0.010835441480196361,2.3333144880560113,-0.02167085971306182,0.02429367736019653,2.124682150411064,0.034809232381943334,4000,2.0497599702180067
240.0,5C,pull5C_final,2,phi,pull5C_final_phi_j2,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,-0.01723584944628719,1.4070955619851355,-0.008077590921970456,0.017838896239487447,1.5421713769790515,0.018788446141471904,4000,1.5085019668091972
240.0,5C,pull5C_final,2,x,pull5C_final_x_j2,before,pull5C_final_valid > 0.5,45771,29532,-0.07113157113440129,2.001470332229124,-0.058930954032327565,0.010879661193338604,1.4804642063890108,0.013205185733511593,4000,18.255625557788804
240.0,5C,pull5C_final,2,x,pull5C_final_x_j2,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,-0.062396854514529754,0.8811780369591375,-0.05344708315884103,0.00848403100623396,0.8373654704925477,0.008771984990240456,4000,7.627906439807542
240.0,4C,pull4C_standard,3,alpha,pull4C_standard_alpha_j3,before,pull4C_standard_valid > 0.5,45815,39978,-0.2564713150790622,1.2985766092777289,-0.16639275771540346,0.0043311743556269135,0.7735911933677391,0.006206829883512233,4000,82.67192383604285
240.0,4C,pull4C_standard,3,alpha,pull4C_standard_alpha_j3,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,-0.1789751228793892,0.7184078934431003,-0.15263634250578853,0.003799808860335643,0.6073076595070743,0.0048916600360314755,4000,46.624176880671
240.0,4C,pull4C_standard,3,theta,pull4C_standard_theta_j3,before,pull4C_standard_valid > 0.5,45815,36096,0.018509534087570702,1.6311338229204009,0.01777261194207996,0.006759632419157118,1.1414172113735137,0.00797775426943137,4000,35.38963971057176
240.0,4C,pull4C_standard,3,theta,pull4C_standard_theta_j3,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,0.014841479751558665,1.0350526983910524,0.014684083690677063,0.006088567113845074,0.9975028275367837,0.006596371069982732,4000,23.941888288292386
240.0,4C,pull4C_standard,3,phi,pull4C_standard_phi_j3,before,pull4C_standard_valid > 0.5,45815,37421,-0.0057882033030128375,1.6040526863119415,-0.010982113374187762,0.006497031652247247,1.1225468341215858,0.007617286663631151,4000,38.287957154280626
240.0,4C,pull4C_standard,3,phi,pull4C_standard_phi_j3,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,-0.009022678437019841,0.995663205548756,-0.008436621888878391,0.005823043237724094,0.9566062055721627,0.006291754586517262,4000,25.40945525807321
240.0,4C,pull4C_standard,3,x,pull4C_standard_x_j3,before,pull4C_standard_valid > 0.5,45815,39928,-0.22488320681514828,1.308356093067166,-0.14376749843837391,0.0043620264435626,0.783244451367726,0.006262032180428478,4000,81.21229179449217
240.0,4C,pull4C_standard,3,x,pull4C_standard_x_j3,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,-0.1665558449211121,0.720822188400665,-0.14018801302181977,0.003811384060130366,0.6113420446688376,0.004862744593466861,4000,45.24885259171437
240.0,4C,pull4C_final,3,alpha,pull4C_final_alpha_j3,before,pull4C_final_valid > 0.5,45815,44200,-0.2454437203299073,1.0692156882841797,-0.16854741767530945,0.003608337471576177,0.6906080804285488,0.004884083173159914,4000,81.04584386750462
240.0,4C,pull4C_final,3,alpha,pull4C_final_alpha_j3,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,-0.1805308822427284,0.7537690424822795,-0.1562704715985752,0.0034316755683098605,0.6385750937801112,0.004431364209311284,4000,62.084905253650184
